OID_,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11
499,313603,92.434700000000007,79.701700000000002,74.584299999999999,19.042400000000001,45.030000000000001,97.239900000000006,65.153999999999996,27.176200000000001,100.000000000000000,0.000000000000000
500,313604,60.349899999999998,64.504400000000004,48.518500000000003,12.265100000000000,38.439999999999998,92.484700000000004,57.228200000000001,9.355800000000000,98.979600000000005,0.583100000000000
501,313605,65.588200000000001,71.372500000000002,47.272700000000000,15.147100000000000,36.520000000000003,80.053200000000004,51.106999999999999,13.031900000000000,100.000000000000000,3.823500000000000
502,313701,51.112900000000003,56.518300000000004,29.108000000000001,7.728600000000000,52.869999999999997,84.568799999999996,69.646799999999999,1.361600000000000,99.205100000000002,0.000000000000000
503,313702,38.034900000000000,48.335999999999999,29.032299999999999,7.017500000000000,26.809999999999999,58.454099999999997,41.866300000000003,7.729500000000000,100.000000000000000,0.000000000000000
504,313703,54.135300000000001,55.012500000000003,36.842100000000002,11.864400000000000,39.500000000000000,59.230800000000002,43.095199999999998,20.000000000000000,98.496200000000002,1.127800000000000
505,313704,54.206499999999998,70.267700000000005,32.701400000000000,14.066500000000000,40.930000000000000,64.137900000000002,58.219200000000001,4.827600000000000,100.000000000000000,1.529600000000000
506,313801,68.883600000000001,38.907400000000003,40.211599999999997,9.816800000000001,30.500000000000000,82.118499999999997,60.402200000000001,7.403200000000000,98.574799999999996,3.515500000000000
507,313802,40.096299999999999,42.444299999999998,31.948899999999998,7.298700000000000,33.380000000000003,96.457499999999996,49.372399999999999,6.376500000000000,99.759200000000007,0.903000000000000
508,313803,67.870500000000007,77.157600000000002,39.627699999999997,13.420700000000000,44.630000000000003,93.222399999999993,62.660899999999998,9.393599999999999,98.686700000000002,0.000000000000000
509,313804,69.542299999999997,55.105600000000003,58.436199999999999,10.038100000000000,39.299999999999997,92.900599999999997,57.010800000000003,7.099400000000000,100.000000000000000,0.000000000000000
510,313805,87.690200000000004,87.966800000000006,68.047300000000007,14.207100000000001,44.770000000000003,100.000000000000000,65.782100000000000,20.440899999999999,100.000000000000000,0.000000000000000
511,313806,87.458900000000000,81.599100000000007,71.531099999999995,30.705900000000000,38.820000000000000,100.000000000000000,65.432100000000005,26.315799999999999,100.000000000000000,0.766700000000000
512,313807,65.600899999999996,57.478900000000003,65.160100000000000,9.369500000000000,41.549999999999997,93.632099999999994,66.082300000000004,17.924499999999998,99.779499999999999,0.000000000000000
513,313808,56.254100000000001,53.474499999999999,27.707000000000001,12.226000000000001,42.070000000000000,89.841300000000004,55.054000000000002,8.730200000000000,100.000000000000000,0.000000000000000
514,313809,48.668599999999998,29.914999999999999,30.218100000000000,19.148900000000001,40.060000000000002,75.265000000000001,52.691200000000002,10.600700000000000,99.660100000000000,2.662900000000000
