"Origin ID","Destination ID","Duration","Distance","Origin snap distance","Destination snap distance"
37,4,8.9673,12364.8275,152.039,161.5849
37,5,7.8337,8653.903,152.039,159.266
38,1,10.9927,12170.2011,301.5174,502.6552
38,2,3.4671,3254.8239,301.5174,80.7594
38,3,24.221,25482.4972,301.5174,87.6054
38,4,12.3093,16022.323,301.5174,161.5849
38,5,9.7578,10068.1785,301.5174,159.266
39,1,9.43,10703.1503,550.0752,502.6552
39,2,3.4752,3262.4393,550.0752,80.7594
39,3,25.122,26289.6219,550.0752,87.6054
39,4,11.4932,14736.1429,550.0752,161.5849
39,5,8.1951,8601.1277,550.0752,159.266
40,1,10.0697,11303.7617,399.707,502.6552
40,2,4.115,3863.0507,399.707,80.7594
40,3,24.4823,25689.0105,399.707,87.6054
40,4,12.133,15336.7543,399.707,161.5849
40,5,8.8349,9201.7391,399.707,159.266
41,1,9.0448,10341.5482,313.0191,502.6552
41,2,3.09,2900.8372,313.0191,80.7594
41,3,26.0599,27514.222,313.0191,87.6054
41,4,10.1888,13511.5428,313.0191,161.5849
41,5,7.8099,8239.5256,313.0191,159.266
42,1,9.706,10438.0362,326.738,502.6552
42,2,4.7187,4429.8141,326.738,80.7594
42,3,25.6279,27011.3207,326.738,87.6054
42,4,9.6047,12963.2435,326.738,161.5849
42,5,8.4712,9252.3189,326.738,159.266
43,1,8.6656,11500.3243,93.0756,502.6552
43,2,0.7793,731.6077,93.0756,80.7594
43,3,22.6652,24928.4757,93.0756,87.6054
43,4,12.4218,17143.9877,93.0756,161.5849
43,5,7.4307,9398.3017,93.0756,159.266
44,1,8.4,11251.0652,173.8367,502.6552
44,2,1.0391,975.4738,173.8367,80.7594
44,3,22.9091,25157.4234,173.8367,87.6054
44,4,12.1563,17028.9728,173.8367,161.5849
44,5,7.1652,9149.0426,173.8367,159.266
45,1,8.2016,11297.9307,315.5261,502.6552
45,2,2.0675,1940.9558,315.5261,80.7594
45,3,22.8576,25109.0661,315.5261,87.6054
45,4,11.9579,17080.2807,315.5261,161.5849
45,5,6.9667,9195.9081,315.5261,159.266
46,1,7.6631,10559.2788,104.7261,502.6552
